ID,Translation,Host_Lemma,Host_Trans,Form,Context
594,"принять в институт; быть принятым в институт",институт,институт,институтилъа ,институтилъа ибхи 
595,водить детей в кино,кино́,"кино; фильм",кинолъа ,макIил кинолъа ирчи 
596,добровольно пошел он служить (букв. в ар-мию),а́рми,армия,армилъа,инщуйда идо вана гов армилъа
597,сдать деньги в кассу,касса,касса,кассалъа,кассалъа арси икки
598,сдать одежду в химчистку,химчистка?,химчистка,химчисткалъа,химчисткалъа раалъи икки 
599,родители плохому не учат,на,"вещь; предмет; явление",нāлъа,ила имуди сураб нāлъа ругьун игьевчIи
600,мы сами пойдем в школу,школа,школа,школалъа,илIида наикIал школалъа
601,когда-нибудь и я (я тоже) побываю в Москве,масква?,москва,Масквалъа,индахвала денла вацIикIов Масквалъа
602,поступить в институт,институт,институт,институтилъа ,институтилъа ворчIи
603,погов. быстрая вода до моря не доходит,регьа,море,реагьалълъа,биххаб инххи реагьалълъа бацIевчIи
604,"погов. в лес дрова не возят; в родник воду не льют",ру́хьу,лес,рухьулъа,рухьулъа гьуди барлIевчIи; инццилъа лълъени тIиндевчIи
605,"погов. в лес дрова не возят; в родник воду не льют",инцци,родник,инццилъа,рухьулъа гьуди барлIевчIи; инццилъа лълъени тIиндевчIи
606,пасти скот по очереди,и́ша,стадо,ишалъа,иргāди ишалъа вани
607,на склад поступили товары,искалад,склад,искаладалъа,искаладалъа къай гьибгъва ида
608,налить в стакан,истакан,стакан,истаканлъа,истаканлъа тIинди
609,в сах помещается четыре йакия ,ссахIи,"сах (мерка; равная по весу приблизительно 2;5 кг.; а по объему – четыре йакъе-банки)",ссахIилъа,ссахIилъа бугъуда йакъе маэ 
610,отдать ребенка в ясли,йасли,ясли,йаслилъа,йаслилъа макIил икки
611,входить в кабинет,кабинет,кабинет,кабинеталъа ,кабинеталъа наи 
612,написать в газету,казет,газета,казеталъа,казеталъа хъварди
613,учиться во втором классе,калас,класс,каласалъа,кIейихоб каласалъа ваъалъи
614,засыпать в лоток,камсса,"лоток; ёмкость; где собирается мука с жер-новов мельницы",камссалълъа,камссалълъа бигьи 
615,отец пошел в канцелярию ,кансилар ,канцелярия,кансиларилъа ,има вана кансиларилъа 
616,пойти на концерт,канцерт,концерт,канцерталъа,канцерталъа наи 
617,соленая капуста,цIцIанй,соль,цIцIанйлъа,цIцIанйлъа бигьаб капуста
618,гладить костюм,кастум,костюм,кастумалъа,кастумалъа эту бешти
619,нельзя опаздывать на урок,дарцц/дарц,урок,дарццилъа,дарццилъа кватIи бегьевчIи 
620,пойти в кино,кино́,"кино; фильм",кинōлъа,кинōлъа наи 
621,идти по делу,къвараб,"надобность; нужда",къварабулълъа,къварабулълъа вани
622,отправить с поручением ,къвараб,"надобность; нужда",къварабулълъа,къварабулълъа витIай 
623,засолить сыр,цIцIанй,соль,цIцIанйилъа ,къвачара цIцIанйилъа бигьи 
624,насыпать зерно в мешок,къегьен,мешок,къегьеналълъа,хьуни къегьеналълъа бигьи
625,"а) повернуться на юг б) начать молиться;",къирба,"рел. юг (сторона; к которой обращаются мусульмане во время молитвы) ",къирбалъа,къирбалъа ссарди
626,"а) пора начать молиться; повернуться к Ал-лаху б) пора начать другую жизнь",къирба,"рел. юг (сторона; к которой обращаются мусульмане во время молитвы) ",къирбалъа,къирбалъа ссарди заман мугъу ида
627,мы пошли в лес группами,ру́хьу,лес,рухьулъа,ищи къукъа игьу наъа рухьулъа
628,загнать кур в курятник,къуру,"помещение для телят; курятник; лачуга; конура",къурулълъа,энэчабалъи къурулълъа ришай
629,дети прыгнули в воду,лълъе́ни,вода,лълъенилъа,макIил лълъенилъа кIанцIу
630,отправить в лагерь,лагир,лагерь,лагиралъа,лагиралъа витIай
631,здесь скользко,гьалълъа,"здесь; сюда",гьалълъа,гьалълъа лIущидихаб ида
632,вышедший на пенсию,пе́нси,пенсия,пенсилъа,пенсилъа ваов
633,идти на мавлид,мавлид,"рел. мавлюд (стихотворное жизнеописание пророка Мухаммада; читаемое хором в честь его дня рождения)",мавлидалъа,мавлидалъа наи 
634,идти в армию,а́рми,армия,армилъа ,армилъа вани
635,ушла на пенсию,пе́нси,пенсия,пенсийалъа,пенсийалъа йана 
636,все деньги израсходовали на ремонт,ремонт,ремонт,ремонталъа,тIоркIуда арси ремонталъа маъа
637,на десять метров погрузилось в землю,унщи,земля,унщилъа,гьацIада метради унщилъа маъа
638,вода ушла под землю,унщи,земля,унщилъа,лълъени унщилъа маъа 
639,яблоки не поместятся в этот ящик,йашикI ,ящик,йашикалъа ,гьаб йашикалъа инчу манэвчIу
640,книги поместились в портфель,ссумка,сумка,сумкалълъа,хъучибалъи сумкалълъа маъа
641,ушел в науку,гIе́лму,наука,гIелмулъа,гIелмулъа гьина вана
642,смотреться в зеркало,матIу,зеркало,матIулъа ,матIулъа хъиди
643,в мечеть ходят много людей,машкид,мечеть,машкелълъа,машкелълъа кьонихи адамал хьваде
644,отправиться в поле,мигъи,"сад (большой);обобщ. поля; сады; обрабатываемая земля",мигъилъа,мигъилъа наи
645,не пускайте скот на обрабатываемые земли,мигъи,"сад (большой);обобщ. поля; сады; обрабатываемая земля",мигъилъа,мигъилъа буцIцIи рештабасси
646,картофель не вмещается в мешок,къегьен,мешок,къегьеналълъа,къегьеналълъа катушка микьата гучIи
647,а) в багажник вместилось б) в багажнике уместилось,багажникI?,багажник,багажникIилъа,багажникIилъа микьу
648,одежда вместилась в чемодан,чумада́н,чемодан,чемоданилъа ,раъалъи чемоданилъа микьу
649,книга еле втиснулась в чемодан,чумада́н,чемодан,чумада́льа,хъу́ча чумада́льа хІа́лади ми́кьу
650,тучный человек (букв. в кожу не вмещается),гъарсси,кожа,гъарссалъа,гъарссалъа винкьата гучIи 
651,ты сам один не ходи в лес,ру́хьу,лес,рухьулъа,минда-цевда вамабасси рухьулъа
652,подняться на минарет,михIмара,минарет,михIмаралъа,михIмаралъа эти 
653,считать до десяти,гьацIада>гьацIадалълъи,десять,гьацIадалълъа,гьацIадалълъа бацIидера мицIцIи 
654,довольно много ходил я в лес,ру́хьу,лес,рухьулъа,мугъаб хьвадив ден рухьулъа
655,отвести детей в ясли ,йасли,ясли,йаслилъа,макIил йаслилъа нугъай
656,"если вдруг пойдет дождь; в лес не пойдем",ру́хьу,лес,рухьулъа,нагагь цIцIай багьала; рухьулъа наи гучIи 
657,идти в отпуск,о́тпуска,отпуск,отпускалъа,отпускалъа вани
658,становиться в очередь,очери,очередь,очерилъа,очерилъа вулълъи
659,разбитый параличом,бешен,"гнездо; постель",бешеналълъа,палижади бешеналълъа вукков
660,достичь красноречия,пассихIлъи,красноречие,ипассихIлъилъа,ипассихIлъилъа вацIи
661,"ввести в молоко закваску; заквасить молоко",щинв,молоко,щинвлъа,щинвлъа пекьу бешти
662,выйти на пенсию,пенси,пенсия,пенсилъа,пенсилъа вани
663,дом превратился в постоялый двор,петер,постоялый двор,петералъа ,гьанкъу петералъа ссарду ида
664,ушли на футбол,пудбол,футбол,пудболалъа,пудболалъа наъа
665,положить в суп перец,чурпа,суп,чурпалъа,чурпалъа пурчч бигьи 
666,влить воду в бочку,пучка,бочка,пучкалъа,пучкалъа лълъени тIинди 
667,на балкон прилетели птицы,рагъи,балкон,рагъилъа,рагъилъа щикибде гьиргъа 
668,поехать в райцентр,райцентра,райцентр,райцентралъа,райцентралъа наи 
669,на чужое протянуть руку,на,"вещь; предмет; явление",нāлъа,гьекIуб нāлъа реа бешти
670,в конце ночи,беххи,край (нижний),беххилълъа,регьалъи беххилълъа
671,в полночь выглянула луна,бакьи,середина ,регьабакьилълъа,регьабакьилълъа бухху пурцIцIу
672,в полночь раздался взрыв,бакьи,середина ,регьабакьилълъа,регьабакьилълъа кьвагьин булълъу
673,доплыли (дошли) до середины моря,бакьи,середина ,регьабакьилълъа,регьабакьилълъа рацIа
674,проводить в армию,а́рми,армия,армилъа,армилъа регIи
675,дети залезли на вершину горки,ли,вершина макушка острие кончик,элилълъа,рекъа элилълъа эту макIил
676,в школе собрались все ровесники,школа,школа,школалъа,школалъа ракIарив тIоргу рекъин макIил
677,мы пешком ходили в лес,ру́хьу,лес,рухьулъа,ищи релIу наъа рухьулъа
678,подождите там ,гьу>гьулълъа,"это>туда; там; тот",гьулълъа ,гьулълъа ригъи
679,привыкнуть к характеру мужа,гIамал,характер,гIамалалъа,кунтIулъи гIамалалъа ругьуни
680,налить воду в самовар,самавар,самовар,самаварилъа,самаварилъа лълъени тIинди
681,пойти в лес с братом,ру́хьу,лес,рухьулъа,ваццучIу санду рухьулъа вана
682,пойти в лес с братом,вацци,брат,ваццучIу,ваццучIу санду рухьулъа вана
682,уехал на сессию,сессийа,сессия,сессийалъа,сессийалъа вана 
683,перен. я не собираюсь преклоняться перед ним (букв. я не буду перед ним падать ниц),сужда,рел. земной поклон,суждалъа,ден гьущуй суждалъа вахи гучIи
684,а) молиться б) низко поклониться (лбом об землю) в) преклоняться перед кем-л,сужда,рел. земной поклон,суждалъи,суждалъи вахи
684,а) молиться б) низко поклониться (лбом об землю) в) преклоняться перед кем-л,сужда,рел. земной поклон,суждалъи,суждалъи вахи
685,пойти на собрание,ссабрани,собрание,ссабранилъа,ссабранилъа вани 
686,"мерка; равная пяти сахам (сх: в раху 5 сах идет)",рахху,"раху (мера объёма сыпучих веществ; равная 20 йакъе",раххулъа,раххулъа иштуда ссахIи маэ 
687,"раньше я часто бывала в Москве;",масква?,Москва,Масквалъа ,ссеа ден кьонихи йацIихай йикIа Масквалъа 
688,дошел до поворота дороги ,ссери,поворот,ссерилъа,микъилъи ссерилъа вацIа 
689,а) сослать на каторгу б) сослать в Сибирь,ссибир,Сибирь,ссибиралълъа,ссибиралълъа витIай
690,положить соду в муку,хъвахъу,мука,хъвахъулъа,хъвахъулъа ссода бигьи
691,в месяц уразы люди ходят в мечеть на ноч-ной молебен,машкид,мечеть,машкелълъа ,гъели риккаб пурцIцIиди адамал тарахI игьи машкелълъа хьваде
692,поехать в столицу,тахшагьар,столица,тахшагьаралъа ,тахшагьаралъа вани
693,жить в столице,тахшагьар,столица,тахшагьаралъа ,тахшагьаралъа гIумру игьи 
694,иди ты хоть на край света,тахIтасара,"даль; удаленная местность",тахIтасаралъа,вама мин тахIтасаралъа вацIидера
695,пойти в театр,театир,театр,театирлъа,театирлъа вани
696,столкнуть лодку в воду,лълъе́ни,вода,лълъенилъа,лотка лълъенилъа тункидай
697,пустить воду по трубе,турба ,труба,турбалъа ,турбалъа лълъени бешти
698,засолить сыр,тури,рассол,турилъа,къвачара турилъа бигьи
699,заключить под стражу,туснахъ,тюрьма,туснахъалълъа,туснахъалълъа тIами
700,погрузить в воду,лълъе́ни,вода,лълъенилъа,лълъенилъа тIерхьай
701,закапать в глаза лекарство,гьай>гьа.ди/гьарде,глаз>на глазах/наяву,гьада,гьада дару тIурдай
702,закапать лекарство в ухо,гьантIукIа,ухо,гьантIукIалълъа,гьантIукIалълъа дару тIурдай
703,в нос капают (закапывают) лекарство,миар,нос,миаралълъа ,миаралълъа дару тIурдата ида
704,поступить учиться в университет,университет,университет,университетилъа,университетилъа ваъалъи вулIи
705,пойти в школу,ушкол,школа,ушколалъа,ушколалъа вани
706,а) попробовать на вкус (букв. в рот поло-жить) б) перен. преподнести в готовом виде,хеа,в рот//во рту,хеа,хеа букIай
707,выражать чужие мысли (букв. говорить из чужого рта),гьекIуб,чужой,гьекIучIу ,гьекIучIу хеаку гулаталъи
707,выражать чужие мысли (букв. говорить из чужого рта),хеа,в рот//во рту,хеаку,гьекIучIу хеаку гулаталъи
708,попасть в сферу обсуждения (букв. быть держанным во рту),хеа,в рот//во рту,хеа,хеа викку вукIи 
709,зачем ты там копошишься? ,гьу>гьулълъа,"это>туда; там; тот",гьулълъа ,эпилъила мин гьулълъа хъархъа? 
710,на завод поступил гудрон,завод,завод,заводалъа,заводалъа хъил гьибгъва
711,заглянуть (посмотреть) в ящик,хъурщ,"выдвижной ящик (стола; шкафа)",хъурщилълъа,хъурщилълъа хъиди
712,погов. богатство (с собой) в могилу не заберешь,хваъа_хьуму>хьудилълъу,в могиле (могила),хьудилълъа,бечелъир хьудилълъа ибхевчIи
713,"одним словом; я в город не поеду",город?,город,городалъа,хIассил; ден городалъа вани гучIи
714,с почетом отправить на пенсию,пе́нси,пенсия,пенсийалъа,хIурматалда пенсийалъа витIай
715,собрать в одно,цеб,один,цеблълъа,цеблълъа бишай
716,объединить два хозяйства,цеб,один,цеблълъа,кIеда магIишат цеблълъа бишай
717,прийти к одному мнению,цеб,один,цеблълъа,цеблълъа гьиргъи
718,"а) конкретизировать (что-л.) б) привести к общему знаменателю в) привести к едине-нию; объединить",цеб,один,цеблълъа,цеблълъа буккай
719,наступил день зимнего солнцестояния (букв. солнце достигло звезды),цIцIай,звезда(небесное тело),цIцIайлъа,цIцIайлъа мигьи бацIа
720,засолить огурцы,цIцIанй,соль,цIцIанйлъа,тIабтIабалъи цIцIанйлъа
721,"положить сыр в рассол; засолить сыр ",цIцIанй,соль,цIцIанйлъа,къвачара цIцIанйлъа бигьи
722,вода просачивается в почву,унщи,земля,унщилъа,унщилъа цIцIундата ида
723,нередко ходили мы в лес,ру́хьу,лес,рухьулъа,чамула рацIихал рукIа ищи рухьулъа
724,здесь много красивых цветов,гьалъа,"здесь; сюда",гьалъа,кьони чIиква-чIиквар гигинабалъи ида гьалъа
725,что это значит? (букв. в чем смысл этого?) ,гьалъа,"здесь; сюда",гьалъилъи,гьалъилъи магIна эбхула?
726,"если три умножить на пять; будет пятна-дцать",гьабуда,три,гьабудалълъа,гьабудалълъа инштуда чIчIабдала; гьацIалъи иштуда бакъе
727,дети убежали в лес,ру́хьу,лес,рухьулъа,макIил рухьулъа чIчIарду
728,взобраться на макушку дерева,(э)ли,макушка,элилълъа,рушалъи элилълъа эти
729,стать в шеренгу ,эрга,"очередь; ряд; шеренга",эргалъа ,эргалъа вулIи
730,сегодня вечером пойдем в кино,кино́,"кино; фильм",кинолъа ,эрха кинолъа наи ида 
731,её возраст достиг ста лет,бешунуда,сто ,бешунудалълъа,голъилъи реше бешунудалълъа эту ида
732,"в нижней теснине; местность",беххи,край (нижний),беххилълъа,Гъада́й беххилълъа
733,куда угодно,бакъаб,любой,бакъабулълъа,бакъабулълъа
734,все приходите на свадьбу,бертин,свадьба,бертинлъа,ТIоргу(да) гъаба бертинлъа
735,"Сосед сказал; чтобы ты пришел на свадьбу",бертин,свадьба,бертинлъа,Мин бертинлъа гъвабаталу гьикьу мадухалиди
736,Брат и сестра пошли в школу,ушкол,школа,ушколалъа,Ваццила йаццила ушколалъа наъа
737,навестить (родное) село,гьани,"село; аул; деревня",гьанлIа,гьанлIа вацIи
738,броситься в объятия (букв. броситься на шею),гару,шея,гарлIа,гарлIа кIанцIи
739,я сыт тобой по горло,гару,шея,гарлIа,ден дучIуку гарлIа вацIа ида 
740,кровника выселили в другое село,гьани,"село; аул; деревня",гьанлIа,тушман цебла гьанлIа гучо
741,распространить слухи по селу,гьани,"село; аул; деревня",гьанлIа,гьанлIа хабар бешти
742,я хочу поехать в село ,гьани,"село; аул; деревня",гьанлIа,дY гьанлIа вани къоро ида
743,есть намерение побывать летом в селении,гьани,"село; аул; деревня",гьанлIа,къенулъи гьанлIа вацIи къасд ида
744,летом я поеду в село,къену,лето,къенулъи,къенулъи ден гьанлIа йани ида
745,до села дошли под вечер,гьани,"село; аул; деревня",гьанлIа,гьанлIа маркIачIу рацIцIа
746,моя мечта вернуться в село,гьани,"село; аул; деревня",гьанлIа,диб мурад ида гьанлIа виши
747,насовсем переехать в село,гьани,"село; аул; деревня",гьанлIа,тIопивда гьанлIа гучи
748,в наше село автобусы не ходят,гьани,"село; аул; деревня",гьанлIа,ищиб гьанлIа автабус хьвадевчIи
749,сколько раз ты приезжал в село?,гьани,"село; аул; деревня",гьанлIа,чамцIила мин гьанлIа вацIа? 
750,на днях поедем в село,гьани,"село; аул; деревня",гьанлIа,эгьел-ахара гьанлIа наи ида
751,мы на базар пошли пешком,базар,рынок,базара,ищи базара релIу наъа
752,она подошла к этой корове,зини,корова,зи́начІу,гой гоб зи́начІу йекьараду́ йа́нъа
753,притеснить,гIакъу́ба,NA (обременение?),гIакъу́бачIу ,гIакъу́бачIу гьикьа́ тIами́
754,под ногами что-то треснуло,цIекIa>цIекIабалъи,нога>ноги,цIекIабалъичIу,цIекIабалъичIу гьикьи гъваркьи булIу
755,в селе его уважают,гьани,"село; аул; деревня",гьанлIи ,гьанлIи адаб-хъатир игье гьущуб
756,у нас в селении живут (есть) пришельцы,гьани,"село; аул; деревня",гьанлIи ,ищичIу гьанлIи апарагал ида
757,у нас в селении много торговцев,гьани,"село; аул; деревня",гьанлIи ,ищиб гьанлIи кьонихи базарганде ида
758,установившаяся (ходячая) в селе цена на что-л,гьани,"село; аул; деревня",гьанлIи ,гьанлIи белIаб багьа
759,в селе появились слухи,гьани,"село; аул; деревня",гьанлIи ,гьанлIи ххабарде бухху
760,в прошлом году в селении была холера,гьани,"село; аул; деревня",гьанлIи ,ссабу гьанлIи вабагI букIа
761,не бывает в селе,гьани,"село; аул; деревня",гьанлIи ,гьанлIи вукIевчIи 
762,в селении ночью засветились лампы,гьани,"село; аул; деревня",гьанлIи ,эрха гьанлIи чирахъабалъи гвангъаду
763,"я не знал; что тебя нет в селении (букв. я не знал твое отсут-ствие в селении); ",гьани,"село; аул; деревня",гьанлIи ,мин гьанлIи гучIир ди(й) бегъичIа
764,повесить амулет на шею,гару,шея,гарлIи,гьайкар гарлIи бухай
765,повесить шубу на гвоздь,гьанкIва,гвоздь,гьанкIвахи,хъабача гьанкIвахи буххай
766,повесить белье на веревку,кара,"проволока; провод",каре,раъалъи каре буххай
767,надеть серьги на уши,гьантIукIа>гьантIукIабалъи,ухо>уши,гьантIукIабахи,гьантIукIабахи къинкъибалъи бухай
768,повесить на гвоздь,гьанкIва,гвоздь,гьанкIвалъи,гьанкIвалъи бухай
769,вдеть нитку в иголку,бежун,"иголка; метла; веник",бежуналъи,бежуналъи рекун буххай
770,вбить гвоздь в стену,къинда,стена,къиндалъи,къиндалъи гьанкIва кIкIванди
771,провести неделю в селении,гьани,"село; аул; деревня",гьанлIи ,гьанлIи гьакьу тIами
772,жить в селе,гьани,"село; аул; деревня",гьанлIи ,гьанлIи рукIи 
773,бродить по селу,гьани,"село; аул; деревня",гьанлIи ,гьанлIи ссардалъи 
774,в этом году я буду жить в селении,гьани,"село; аул; деревня",гьанлIи ,гьершина ден гьанлIи вукIи ида
775,сойти с коня,гьи́кьи,"внизу; вниз; под",гьикьа,кIатучIуку гьикьа вулIи
775,сойти с коня,кІату,конь,кIатучIуку,кIатучIуку гьикьа вулIи
776,мы встретились в селении,гьани,"село; аул; деревня",гьанлIи ,ищи гьанлIи дандалъа
777,в селении имеется большая мечеть,гьани,"село; аул; деревня",гьанлIи ,гьанлIи бечIуха машкит ида 
778,до какого времени ты пробудешь в селе? ,гьани,"село; аул; деревня",гьанлIи ,индайдералъила мин гьанлIи вукIи? 
779,тащить в дом,иши,нареч. в значении в доме,иша ,иша барлIи
780,зимой в селении уменьшается количество воды,гьани,"село; аул; деревня",гьанлIи ,ццибурулъи гьанлIи лълъени къанагIалъе
780,зимой в селении уменьшается количество воды,ццибуру,зима,ццибурулъи,ццибурулъи гьанлIи лълъени къанагIалъе
781,провести лето в селении,къену,лето,къенулъи,къенулъи гьанлIи рукIи//къену гьанлIи тIами
782,провести лето в селении,къену,лето,къену ,къенулъи гьанлIи рукIи//къену гьанлIи тIами
783,в неурожайный год в селении был голод,гьани,"село; аул; деревня",гьанлIи ,хури гъичIаб решиди маквасир букIа гьанлIи
784,в селе две мечети,гьани,"село; аул; деревня",гьанлIи ,гьанлIи кIеда машкид ида 
785,в нашем селении два минарета,гьани,"село; аул; деревня",гьанлIи ,ищиб гьанлIи кIеда михIмара ида
786,сидеть на шее родителей,гару,шея,гарлIи,ила-имучIу гарлIи накIуй
787,сидеть на шее родителей,ила-има,родители,ила-имучIу,ила-имучIу гарлIи накIуй
788,сесть на фургон,пургон,фургон,пургоначIу,пургоначIу накIуй 
789,сесть на трамвай,тарамвай,трамвай,тарамвайчIу,тарамвайчIу гьеа накIуй
790,сесть в троллейбус,таралейбус,троллейбус,таралейбусичIу ,таралейбусичIу гьеа накIуй
791,садиться на жеребца,барти,жеребец,бартичIу,бартичIу накIуй 
792,сесть в вагон,ваг(.)н,вагон,вагуначIу,вагуначIу накIуй
793,сесть на пароход,гама,"корабль; судно; пароход",гамачIу,гамачIу накIуй
794,садиться в лодку,гьерцIа,"лодка; корыто",гьерцIалъи,гьерцIалъи накIуй
795,он целый месяц находился в селении,гьани,"село; аул; деревня",гьанлIи ,тIопаб пурцIцIиди гов гьанлIи вукIа 
796,дядя (по отцу) насовсем остался в другом селении,гьани,"село; аул; деревня",гьанлIи ,имув вацци тIопивда гьекIуб гьанлIи вигъу 
797,после моего отъезда в селении многое переменилось,гьани,"село; аул; деревня",гьанлIи ,ден вана бехутIу эрзагIан хиса-баси булIу ида гьанлIи
798,в этом селе двести хозяйств,гьани,"село; аул; деревня",гьанлIи ,гьаб гьанлIи кIебешунуда цIараки ида
799,сколько хозяйств в вашем селе?,гьани,"село; аул; деревня",гьанлIи ,биштиб гьанлIи чаму цIаракихула?
800,погов. с деньгами (в кармане) и реку можно повернуть вспять,чанта,"карман; сума",чанталълъу,чанталълъу арси букIала; инсса бēссуха ссардай билълъе 
801,в шкафу три отдела (секции),ишкаб,шкаф,ишкапалълъу,ишкапалълъу гьабуда аддел ида
802,во дворе посадили цветы,азбар,двор,азбаралълъу,азбаралълъу гигинабалъи букIо
803,во дворе играют дети,азбар,двор,азбаралълъу,азбаралълъу макIил бушуха ида
804,перен. кто только не живет в эт ом дворе,азбар,двор,азбаралълъу,гьуб азбаралълъу гьину гучIал адамда гучIи 
805,вечером коня оставляем во дворе,азбар,двор,азбаралълъу,хадал кIатIу азбаралълъу бете
806,спрятать в щель,баган,"нора; дыра; отверстие; щель",баганалълъу,баганалълъу бакъащай
807,спрятаться в норе,баган,"нора; дыра; отверстие; щель",баганалълъу,баганалълъу бакъащи
808,уложить в постель,бешен,"гнездо; постель",бешеналълъу,бешеналълъу вераххай
809,лечь в постель,бешен,"гнездо; постель",бешеналълъу,бешеналълъу вераххи
810,ложиться в постель,бешен,"гнездо; постель",бешеналълъу,бешеналълъу рераххи 
811,стоять на своем,инщубда,3sg/GEN (гьSвда.GEN),инщубдалълъу,инщубдалълъу вигъи
812,приходи в восемь (часов),бикьида,восемь,бикьидалълъу,бикьидалълъу гъваба
813,в мечети назначили муэдзина,машкид,мечеть,машкēлълъу,машкēлълъу будун вета 
814,"оставив вещи на месте; мы; увидев волка; убежали",букIа-букIаб.лълъу ,"нареч. на месте; где было",букIа-букIабулълъу,букIа-букIабулълъу къайла бета ищи бацIа гьагъиллада чIчIарчIчIаду
815,оставь на месте,букIабулълъу,"нареч. со знач. на месте; на старом месте; там; где было",букIабулълъу,букIабулълъу бета
816,положи на место,букIабулълъу,"нареч. со знач. на месте; на старом месте; там; где было",букIабулълъу,букIабулълъу букIа
817,уложить ребенка в люльку,кини,"колыбель; люлька",кинилълъу,макIи кинилълъу вукIай
818,спеленать ребенка в люльке,кини,"колыбель; люлька",кинилълъу,кинилълъу вукIай
819,хоронить (букв. в могилу положить) ,хьуму,могила,хьудилъу,хьудилъу вукIай
820,похоронить,хьуму,могила,хьудилълъу ,хьудилълъу вукIай
821,проповедь в мечети,машкид,мечеть,машкēлълъу,машкēлълъу игьатахоб вагIза
822,в гнезде куропатки нашли птенца,бешен,"гнездо; постель",бешеналълъу,гъабгъулъи бешеналълъу багьа миса 
823,были в ущелье,гъада,ущелье,гъадалълъу,гъадалълъу рукIа
824,положить в тарелку,гъамакьуххур,"большая; глубокая тарелка (обычно эмали-рованная)",гъамакьуххурлълъу,гъамакьуххурлълъу букIай
825,положить на поднос,гъами,поднос,гъамичIу,гъамичIу гьеа букIай
826,принесли на подносе,гъами,поднос,гъамилълъу,гъамилълъу гьибгъва
827,лодка утонула в море,регьа,море,регьалълъу,гьерцIа гъанкъу регьалълъу
828,платки находятся в сундуке,гъармасса,сундук,гъармассалълъу,кIазибалъи гъармассалълъу ида
829,я не дотронулся до твоих вещей,на,"вещь; предмет; явление",нāлълъу,ден дуб нāлълъу гъвандичIа
830,деньги в коробке ,гъуртухъ,"шкатулка; коробочка; сундучок; пенал",гъуртухъалълъу,арси гъуртухъалълъу ида
831,кольца находятся в сундуке,гъуртухъ,"шкатулка; коробочка; сундучок; пенал",гъуртухъалълъу,гьецIибащабалъи гъуртухъалълъу ида
832,карандаши положить в пенал,гъуртухъ,"шкатулка; коробочка; сундучок; пенал",гъуртухъалълъу,къаламде гъуртухъалълъу букIай
833,на виду ничего не оставляй,гьагъихаб,NA(видимый?сх),гьагъихабулълъу,гьагъихабулълъу эбкIвала бетабасси
834,поставь на видном месте,гьагъихаб,NA(видимый?сх),гьагъихабулълъу ,гьагъихабулълъу букIа
835,оставь вещь на видном месте перед глазами,гьагъихаб,NA(видимый?сх),гьагъиххаблълъу ,гьардукьи гьагъиххаблълъу бета нā 
835,оставь вещь на видном месте перед глазами,гьай>гьа.ди/гьарде,глаз>на глазах/наяву,гьардукьи,гьардукьи гьагъиххаблълъу бета нā 
836,замесить в корыте ,гьерцIа,"лодка; корыто",гьерцIалълъу,гьерцIалълъу бигъай
837,в чемодане (букв. внутри чемодана),чемодан,чемодан,чемоданалълъу,чемоданалълъу гьину
838,в кармане,чанта́,"карман; сума",чанталълъу,чанталълъу гьину
839,в комнате (или в доме),гьанкъу,"дом; комната",гьанкъулъи,гьанкъулъи гьину 
840,в земле,унщи,земля,унщилъи,унщилъи гьину
841,в хлеву,бе́кьи,"хлев; сарай",бекьу ,бекьу гьину
842,вытащи из сундука одежду,ссанду́кI,сундук,ссандукIалълъу,ссандукIалълъу гьинуру раалъи орсса буха
843,меня разбуди в шесть (часов),инлIида,шесть,инлIидалълъу,ден инлIидалълъу гьичIчIаймала
844,жарить на сковороде,джаргъу,сковородка,джаргъ[лълъу,джаргъ[лълъу бежи 
845,они очень  далеко живут (букв. у них дом у черта на куличках),жагьандаман,"преисподня; тартарары",жагьандаманалълъу,жагьандаманалълъу ида гьулуб гьанкъу
846,спрятать за пзухой,интар,"пазуха (пространство между грудью; жи-вотом; прилегающей одеждой)",интаралълъу,интаралълъу бакъащай
847,мальчик положил груши за пазуху,интар,"пазуха (пространство между грудью; жи-вотом; прилегающей одеждой)",интаралълъу,вашащуди гьингьун интаралълъу букIо
848,в Дагестане везде пасмурно (или облачно),Дагъистан,Дагестан,Дагъистаналълъу,Дагъистаналълъу инугIалла гьиращу ида 
849,"с ребенком во чреве; в утробе",исиб,"полость тела (человека); чрево",исибалълъу,исибалълъу макIиллълъи
849,"с ребенком во чреве; в утробе",ма́кIи,ребенок,макIиллълъи,исибалълъу макIиллълъи
850,у неё в утробе ребенок (т.е. она беременна),исиб,"полость тела (человека); чрево",исибалълъу,голъилъи исибалълъу макIи ида
851,поставь на видном месте,квадабацIихаб,NA(в зоне доставания?),квадабацIихабулълъу,квадабацIихабулълъу букIа
852,"втискивать; вталкивать вещи в чемодан",чумада́н,чемодан,чумаданалълъу ,къай чумаданалълъу къиндай
853,рассовать вещи в мешок,къегьен,мешок,къегьеналълъу,къай къегьеналълъу къиндай
854,жить в лачуге,къуру,"помещение для телят; курятник; лачуга; конура",къурулълъу,къурулълъу гIумру игьи
855,ребенок ворочается в постели,бешен,"гнездо; постель",бешеналълъу,макIи бешеналълъу кьуркьа ида
856,не ёрзай на стуле,макIва,"стул; табуретка",макIвачIу,макIвачIу гьеа кьуркьа вагьабасси
