Context,Context_Lemma
сдать деньги в кассу,"сдавать деньги в касса
"
сдать одежду в химчистку,"сдавать одежда в химчистка
"
родители плохому не учат,"родитель плохой не учить
"
мы сами пойдем в школу,"мы сам пойти в школа
"
когда-нибудь и я (я тоже) побываю в Москве,"и я побывать в москва
"
поступить в институт,"поступать в институт
"
погов. быстрая вода до моря не доходит,"быстрый вода до море не доходить
"
погов. в лес дрова не возят; в родник воду не льют,"в лес дрова не в родник вода не лить
"
погов. в лес дрова не возят; в родник воду не льют,"в лес дрова не в родник вода не лить
"
пасти скот по очереди,"пасть скот по очередь
"
на склад поступили товары,"на склад поступать товар
"
налить в стакан,"наливать в стакан
"
в сах помещается четыре йакия ,"в саха помещаться четыре йакия
"
отдать ребенка в ясли,"отдавать ребенок в ясли
"
входить в кабинет,"входить в кабинет
"
написать в газету,"написать в газета
"
учиться во втором классе,"учиться во второй класс
"
засыпать в лоток,"засыпать в лоток
"
отец пошел в канцелярию ,"отец пойти в канцелярия
"
пойти на концерт,"пойти на концерт
"
соленая капуста,"соленый капуста
"
гладить костюм,"гладить костюм
"
нельзя опаздывать на урок,"нельзя опаздывать на урок
"
пойти в кино,"пойти в кино
"
идти по делу,"идти по дело
"
отправить с поручением ,"отправлять с поручение
"
засолить сыр,"засолить сыр
"
насыпать зерно в мешок,"насыпать зерно в мешок
"
а) повернуться на юг б) начать молиться;,"повертываться на юг начинать
"
а) пора начать молиться; повернуться к Ал-лаху б) пора начать другую жизнь,"пора начинать повертываться к пора начинать другой жизнь
"
мы пошли в лес группами,"мы пойти в лес группа
"
загнать кур в курятник,"загнать курица в курятник
"
дети прыгнули в воду,"ребенок прыгнуть в вода
"
отправить в лагерь,"отправлять в лагерь
"
здесь скользко,"здесь скользко
"
вышедший на пенсию,"выходить на пенсия
"
идти на мавлид,"идти на мавлида
"
идти в армию,"идти в армия
"
ушла на пенсию,"уходить на пенсия
"
все деньги израсходовали на ремонт,"весь деньги израсходовать на ремонт
"
на десять метров погрузилось в землю,"на десять метр погружаться в земля
"
вода ушла под землю,"вода уходить под земля
"
яблоки не поместятся в этот ящик,"яблоко не помещаться в этот ящик
"
книги поместились в портфель,"книга помещаться в портфель
"
ушел в науку,"уходить в наука
"
смотреться в зеркало,"смотреться в зеркало
"
в мечеть ходят много людей,"в мечеть ходить много человек
"
отправиться в поле,"отправляться в поле
"
не пускайте скот на обрабатываемые земли,"не пускать скот на обрабатывать земля
"
картофель не вмещается в мешок,"картофель не вмещаться в мешок
"
а) в багажник вместилось б) в багажнике уместилось,"в багажник вмещаться в багажник умещаться
"
одежда вместилась в чемодан,"одежда вмещаться в чемодан
"
книга еле втиснулась в чемодан,"книга еле втискиваться в чемодан
"
тучный человек (букв. в кожу не вмещается),"тучный человек в кожа не
"
ты сам один не ходи в лес,"ты сам один не ходить в лес
"
подняться на минарет,"подниматься на минарет
"
считать до десяти,"считать до десять
"
довольно много ходил я в лес,"довольно много ходить я в лес
"
отвести детей в ясли ,"отводить ребенок в ясли
"
если вдруг пойдет дождь; в лес не пойдем,"если вдруг пойти в лес не пойти
"
идти в отпуск,"идти в отпуск
"
становиться в очередь,"становиться в очередь
"
разбитый параличом,"разбитый паралич
"
достичь красноречия,"достигать красноречие
"
ввести в молоко закваску; заквасить молоко,"вводить в молоко заквашивать молоко
"
выйти на пенсию,"выходить на пенсия
"
дом превратился в постоялый двор,"дом превращаться в постоялый двор
"
ушли на футбол,"уходить на футбол
"
положить в суп перец,"полагать в суп перец
"
влить воду в бочку,"вливать вода в бочка
"
на балкон прилетели птицы,"на балкон прилетать птица
"
поехать в райцентр,"поехать в райцентр
"
на чужое протянуть руку,"на чужой протягивать рука
"
в конце ночи,"в конец ночь
"
в полночь выглянула луна,"в полночь выглядывать луна
"
в полночь раздался взрыв,"в полночь раздаваться взрыв
"
доплыли (дошли) до середины моря,"доплывать до середина море
"
проводить в армию,"проводить в армия
"
дети залезли на вершину горки,"ребенок залезать на вершина горка
"
в школе собрались все ровесники,"в школа собираться весь ровесник
"
мы пешком ходили в лес,"мы пешком ходить в лес
"
подождите там ,"подождать там
"
привыкнуть к характеру мужа,"привыкать к характер муж
"
налить воду в самовар,"наливать вода в самовар
"
пойти в лес с братом,"пойти в лес с брат
"
пойти в лес с братом,"пойти в лес с брат
"
уехал на сессию,"уезжать на сессия
"
перен. я не собираюсь преклоняться перед ним (букв. я не буду перед ним падать ниц),"я не собираться преклоняться перед он я не быть перед он падать
"
а) молиться б) низко поклониться (лбом об землю) в) преклоняться перед кем-л,"молиться низко поклониться об преклоняться перед
"
а) молиться б) низко поклониться (лбом об землю) в) преклоняться перед кем-л,"молиться низко поклониться об преклоняться перед
"
пойти на собрание,"пойти на собрание
"
мерка; равная пяти сахам (сх: в раху 5 сах идет),"равный пять саха в раха саха
"
раньше я часто бывала в Москве;,"рано я часто бывать в
"
дошел до поворота дороги ,"доходить до поворот дорога
"
а) сослать на каторгу б) сослать в Сибирь,"ссылать на каторга ссылать в сибирь
"
положить соду в муку,"полагать сода в мука
"
в месяц уразы люди ходят в мечеть на ноч-ной молебен,"в месяц ураза человек ходить в мечеть на молебен
"
поехать в столицу,"поехать в столица
"
жить в столице,"жить в столица
"
иди ты хоть на край света,"идти ты хоть на край свет
"
пойти в театр,"пойти в театр
"
столкнуть лодку в воду,"сталкивать лодка в вода
"
пустить воду по трубе,"пускать вода по труба
"
засолить сыр,"засолить сыр
"
заключить под стражу,"заключать под стража
"
погрузить в воду,"погружать в вода
"
закапать в глаза лекарство,"закапывать в глаз лекарство
"
закапать лекарство в ухо,"закапывать лекарство в ухо
"
в нос капают (закапывают) лекарство,"в нос капать лекарство
"
поступить учиться в университет,"поступать учиться в университет
"
пойти в школу,"пойти в школа
"
а) попробовать на вкус (букв. в рот поло-жить) б) перен. преподнести в готовом виде,"попробовать на вкус в рот преподносить в готовый вид
"
выражать чужие мысли (букв. говорить из чужого рта),"выражать чужой мысль говорить из чужой
"
выражать чужие мысли (букв. говорить из чужого рта),"выражать чужой мысль говорить из чужой
"
попасть в сферу обсуждения (букв. быть держанным во рту),"попадать в сфера обсуждение быть держать во
"
зачем ты там копошишься? ,"зачем ты там
"
на завод поступил гудрон,"на завод поступать гудрон
"
заглянуть (посмотреть) в ящик,"заглядывать в ящик
"
погов. богатство (с собой) в могилу не заберешь,"богатство в могила не забирать
"
одним словом; я в город не поеду,"один я в город не поехать
"
с почетом отправить на пенсию,"с почет отправлять на пенсия
"
собрать в одно,"собирать в один
"
объединить два хозяйства,"объединять два хозяйство
"
прийти к одному мнению,"приходить к один мнение
"
а) конкретизировать (что-л.) б) привести к общему знаменателю в) привести к едине-нию; объединить,"конкретизировать приводить к общий знаменатель приводить к объединять
"
наступил день зимнего солнцестояния (букв. солнце достигло звезды),"наступать день зимний солнцестояние солнце достигать
"
засолить огурцы,"засолить огурец
"
положить сыр в рассол; засолить сыр ,"полагать сыр в засолить сыр
"
вода просачивается в почву,"вода просачиваться в почва
"
нередко ходили мы в лес,"нередко ходить мы в лес
"
здесь много красивых цветов,"здесь много красивый цветок
"
что это значит? (букв. в чем смысл этого?) ,"что это в чем смысл
"
если три умножить на пять; будет пятна-дцать,"если три умножать на быть
"
дети убежали в лес,"ребенок убегать в лес
"
взобраться на макушку дерева,"взбираться на макушка дерево
"
стать в шеренгу ,"становиться в шеренга
"
сегодня вечером пойдем в кино,"сегодня вечер пойти в кино
"
её возраст достиг ста лет,"она возраст достигать сто год
"
в нижней теснине; местность,"в нижний местность
"
куда угодно,"куда угодно
"
все приходите на свадьбу,"весь приходить на свадьба
"
Сосед сказал; чтобы ты пришел на свадьбу,"сосед чтобы ты приходить на свадьба
"
Брат и сестра пошли в школу,"брат и сестра пойти в школа
"
навестить (родное) село,"навещать село
"
броситься в объятия (букв. броситься на шею),"бросаться в объятие бросаться на
"
я сыт тобой по горло,"я сытый ты по горло
"
кровника выселили в другое село,"кровник выселять в другой село
"
распространить слухи по селу,"распространять слух по село
"
я хочу поехать в село ,"я хотеть поехать в село
"
есть намерение побывать летом в селении,"быть намерение побывать лето в селение
"
летом я поеду в село,"лето я поехать в село
"
до села дошли под вечер,"до село доходить под вечер
"
моя мечта вернуться в село,"мой мечта вернуться в село
"
насовсем переехать в село,"насовсем переезжать в село
"
в наше село автобусы не ходят,"в наш село автобус не ходить
"
сколько раз ты приезжал в село?,"сколько раз ты приезжать в
"
на днях поедем в село,"на день поехать в село
"
мы на базар пошли пешком,"мы на базар пойти пешком
"
она подошла к этой корове,"она подходить к этот корова
"
притеснить,"притеснять
"
под ногами что-то треснуло,"под нога треснуть
"
в селе его уважают,"в село он уважать
"
у нас в селении живут (есть) пришельцы,"у мы в селение жить пришелец
"
у нас в селении много торговцев,"у мы в селение много торговец
"
установившаяся (ходячая) в селе цена на что-л,"устанавливаться в село цена на
"
в селе появились слухи,"в село появляться слух
"
в прошлом году в селении была холера,"в прошлый год в селение быть холера
"
не бывает в селе,"не бывать в село
"
в селении ночью засветились лампы,"в селение ночь засвечиваться лампа
"
я не знал; что тебя нет в селении (букв. я не знал твое отсут-ствие в селении); ,"я не что ты нет в селение я не знать твой в
"
повесить амулет на шею,"повесить амулет на шея
"
повесить шубу на гвоздь,"повесить шуба на гвоздь
"
повесить белье на веревку,"повесить белье на веревка
"
надеть серьги на уши,"надевать серьга на ухо
"
повесить на гвоздь,"повесить на гвоздь
"
вдеть нитку в иголку,"вдевать нитка в иголка
"
вбить гвоздь в стену,"вбивать гвоздь в стена
"
провести неделю в селении,"проводить неделя в селение
"
жить в селе,"жить в село
"
бродить по селу,"бродить по село
"
в этом году я буду жить в селении,"в этот год я быть жить в селение
"
сойти с коня,"сходить с конь
"
сойти с коня,"сходить с конь
"
мы встретились в селении,"мы встречаться в селение
"
в селении имеется большая мечеть,"в селение иметься большой мечеть
"
до какого времени ты пробудешь в селе? ,"до какой время ты пробыть в
"
тащить в дом,"тащить в дом
"
зимой в селении уменьшается количество воды,"зима в селение уменьшаться количество вода
"
зимой в селении уменьшается количество воды,"зима в селение уменьшаться количество вода
"
провести лето в селении,"проводить лето в селение
"
провести лето в селении,"проводить лето в селение
"
в неурожайный год в селении был голод,"в неурожайный год в селение быть голод
"
в селе две мечети,"в село два мечеть
"
в нашем селении два минарета,"в наш селение два минарет
"
сидеть на шее родителей,"сидеть на шея родитель
"
сидеть на шее родителей,"сидеть на шея родитель
"
сесть на фургон,"садиться на фургон
"
сесть на трамвай,"садиться на трамвай
"
сесть в троллейбус,"садиться в троллейбус
"
садиться на жеребца,"садиться на жеребец
"
сесть в вагон,"садиться в вагон
"
сесть на пароход,"садиться на пароход
"
садиться в лодку,"садиться в лодка
"
он целый месяц находился в селении,"он целый месяц находиться в селение
"
дядя (по отцу) насовсем остался в другом селении,"дядя насовсем оставаться в другой селение
"
после моего отъезда в селении многое переменилось,"после мой отъезд в селение многое перемениться
"
в этом селе двести хозяйств,"в этот село двести хозяйство
"
сколько хозяйств в вашем селе?,"сколько хозяйство в ваш
"
погов. с деньгами (в кармане) и реку можно повернуть вспять,"с деньги и река можно повертывать вспять
"
в шкафу три отдела (секции),"в шкаф три отдел
"
во дворе посадили цветы,"во двор посадить цветок
"
во дворе играют дети,"во двор играть ребенок
"
перен. кто только не живет в эт ом дворе,"кто только не жить в эта ом двор
"
вечером коня оставляем во дворе,"вечер конь оставлять во двор
"
спрятать в щель,"спрятать в щель
"
спрятаться в норе,"спрятаться в нора
"
уложить в постель,"укладывать в постель
"
лечь в постель,"ложиться в постель
"
ложиться в постель,"ложиться в постель
"
стоять на своем,"стоять на свой
"
приходи в восемь (часов),"приходить в восемь
"
в мечети назначили муэдзина,"в мечеть назначать муэдзин
"
оставив вещи на месте; мы; увидев волка; убежали,"оставлять вещь на увидеть убегать
"
оставь на месте,"оставлять на место
"
положи на место,"полагать на место
"
уложить ребенка в люльку,"укладывать ребенок в люлька
"
спеленать ребенка в люльке,"спеленать ребенок в люлька
"
хоронить (букв. в могилу положить) ,"хоронить в могила
"
похоронить,"похоронить
"
проповедь в мечети,"проповедь в мечеть
"
в гнезде куропатки нашли птенца,"в гнездо куропатка находить птенец
"
были в ущелье,"быть в ущелие
"
положить в тарелку,"полагать в тарелка
"
положить на поднос,"полагать на поднос
"
принесли на подносе,"приносить на поднос
"
лодка утонула в море,"лодка утопать в море
"
платки находятся в сундуке,"платок находиться в сундук
"
я не дотронулся до твоих вещей,"я не дотрагиваться до твой вещь
"
деньги в коробке ,"деньги в коробка
"
кольца находятся в сундуке,"кольцо находиться в сундук
"
карандаши положить в пенал,"карандаш полагать в пенал
"
на виду ничего не оставляй,"на вид ничто не оставлять
"
поставь на видном месте,"поставлять на видный место
"
оставь вещь на видном месте перед глазами,"оставлять вещь на видный место перед глаз
"
оставь вещь на видном месте перед глазами,"оставлять вещь на видный место перед глаз
"
замесить в корыте ,"замешивать в корыто
"
в чемодане (букв. внутри чемодана),"в чемодан внутри
"
в кармане,"в карман
"
в комнате (или в доме),"в комната в
"
в земле,"в земля
"
в хлеву,"в хлев
"
вытащи из сундука одежду,"вытаскивать из сундук одежда
"
меня разбуди в шесть (часов),"я разбудить в шесть
"
жарить на сковороде,"жарить на сковорода
"
они очень  далеко живут (букв. у них дом у черта на куличках),"они очень далеко жить у они дом у черт на
"
спрятать за пзухой,"спрятать за пзуха
"
мальчик положил груши за пазуху,"мальчик полагать груша за пазуха
"
в Дагестане везде пасмурно (или облачно),"в дагестан везде пасмурно
"
с ребенком во чреве; в утробе,"с ребенок во в утроба
"
с ребенком во чреве; в утробе,"с ребенок во в утроба
"
у неё в утробе ребенок (т.е. она беременна),"у она в утроба ребенок она
"
поставь на видном месте,"поставлять на видный место
"
втискивать; вталкивать вещи в чемодан,"вталкивать вещь в чемодан
"
рассовать вещи в мешок,"рассовывать вещь в мешок
"
жить в лачуге,"жить в лачуга
"
ребенок ворочается в постели,"ребенок ворочаться в постель
"
не ёрзай на стуле,"не ерзать на стул
"
привязать осла к столбу,"привязывать осел к столб
"
привязать корову к яслям,"привязывать корова к ясли
"
молиться в мечети,"молиться в мечеть
"
будь (там); где я тебя найду,"быть где я ты находить
"
купаться в море,"купаться в море
"
козы пасутся на крутых скалах,"коза пастись на крутой скала
"
в ложбине,"в ложбина
"
а) на огороде растет лук б) на огороде посажен лук,"на огород расти лук на огород посадить лук
"
как в море корабли,"как в море корабль
"
как рыба в море,"как рыба в море
"
в подвале сырость,"в подвал сырость
"
в животе (желудке) ничего нет,"в живот ничто нет
"
живот урчит,"живот урчать
"
спрятались в пещере,"спрятаться в пещера
"
летучие мыши обитают в пещере,"летучий мышь обитать в пещера
"
овцы в пещере (есть),"овца в пещера
"
в твоем рассказе нет последовательности,"в твой рассказ нет последовательность
"
погов. о человеке судят не по его словам; а по его делам,"о человек судить не по его а по его дело
"
погов. о человеке судят не по его словам; а по его делам,"о человек судить не по его а по его дело
"
положить в ящик,"полагать в ящик
"
копаться в сундуке,"копаться в сундук
"
положить сено в ясли,"полагать сено в ясли
"
иногда я вижу его в мечети,"иногда я видеть он в мечеть
"
положить в тарелку,"полагать в тарелка
"
положить в карман,"полагать в карман
"
застрять в жиже,"застревать в жижа
"
узнал; что у него в кармане,"что у он в карман
"
узнал; что у него в кармане,"что у он в карман
"
у теснины,"у теснина
"
сады у места; похожего на мельничный лоток,"сад у похожий на мельничный лоток
"
местность; покосы (букв. у круч),"покос у
"
в кувшине,"в кувшин
"
В сундуке ни денег; ни золота не нашли,"в сундук ни ни золото не находить
"
на следующий день (сара глосс: завтра-SUPER-EL    заполнить поверхность/перегородить|мы?    ходить/пешком),"на следующий день заполнять
"
в следующую ночь,"в следующий ночь
"
обвить; обмотать,"обматывать
"
вокруг,"вокруг
"
в заключение; под конец; в конечном счёте,"в под в конечный счет
"
обмерить (участок),"обмеривать
"
облепить,"облеплять
"
обтыкать,"обтыкать
"
от зари до зари,"от заря до заря
"
после твоего отъезда нарушился порядок семьи,"после твой отъезд нарушаться порядок семья
"
после твоего отъезда нарушился порядок семьи,"после твой отъезд нарушаться порядок семья
"
врождённый; от рождения,"от рождение
"
сроду; со дня рождения,"со день рождение
"
отроду слепой,"отроду слепой
"
отроду не видел,"отроду не видеть
"
слепой с самого рождения,"слепой с самый рождение
"
слепой с самого рождения,"слепой с самый рождение
"
с тех пор,"с тот пора
"
еженедельно,"еженедельно
"
еженедельный,"еженедельный
"
еженедельник,"еженедельник
"
понедельный,"понедельный
"
отныне; с сегодняшнего дня,"с сегодняшний день
"
отныне я ей не верю,"отныне я она не верить
"
отныне я ей не верю,"отныне я она не верить
"
посмотрим отныне,"посмотреть отныне
"
извинить; простить,"прощать
"
извинение; основание для оправдания,"основание для оправдание
"
а) извинение; б) помилование,"помилование
"
извиниться,"извиняться
"
извинительный; заслуживающий извинения,"заслуживать извинение
"
умилостивить,"умилостивлять
"
непростительный,"непростительный
"
взмолиться о прощении; просить о пощаде,"взмаливаться о просить о пощада
"
замолить; вымолить прощение;,"вымаливать
"
искупить (вину),"искупать
"
искупительный,"искупительный
"
миловать; щадить,"щадить
"
брать изнутри,"брать изнутри
"
вытащить,"вытаскивать
"
вытащи из сундука одежду,"вытаскивать из сундук одежда
"
упрятать; спрятать так; чтобы не нашли,"спрятать чтобы не находить
"
восклицание; которое издается во время игры в «гибчи» (прятки),"который издаваться во время игра в
"
с тех пор я его не видел,"с тот пора я он не видеть
"
та книга с тех пор на столе,"тот книга с тот пора на стол
"
та книга с тех пор на столе,"тот книга с тот пора на стол
"
пошевеливать; шевелить время от времени,"шевелить время от время
"
подёгивать,"подегивать
"
с давних пор,"с давний пора
"
сроду; со дня рождения,"со день рождение
"
ты с каждым днем молодеешь,"ты с каждый день молодеть
"
день ото дня силы покидают меня,"день ото день сила покидать я
"
смолоду,"смолоду
"
с малых лет,"с малый год
"
с каких пор протекает крыша?,"с какой пора протекать
"
с каких пор ты работаешь?,"с какой пора ты
"
с каких пор,"с какой пора
"
перед рассветом,"перед рассвет
"
деревянный самодельный игрушечный пистолет,"деревянный самодельный игрушечный пистолет
"
хлопья,"хлопья
"
ветрянка (болезнь),"ветрянка
"
попрыгунчик,"попрыгунчик
"
после перелома ноги он прихрамывает,"после перелом нога он прихрамывать
"
после перелома ноги он прихрамывает,"после перелом нога он прихрамывать
"
ежеминутно,"ежеминутный
"
ежеминутный,"ежеминутный
"
поминутный,"поминутный
"
кочевать,"кочевать
"
с давних пор я думал об этом,"с давний пора я думать об это
"
издавна; с давних пор,"с давний пора
"
ежемесячный,"ежемесячный
"
ежемесячник,"ежемесячник
"
взапуски; наперегонки,"наперегонки
"
год от года,"год от год
"
погодный (от «год»),"погодный
"
час от часу,"час от час
"
ехать авто-стопом,"ехать
"
убрайся с глаз долой!;,"убраться с глаз
"
а) убрать (со стола); б) продать;,"убирать
"
вали; отвались,"отваливаться
"
гонение,"гонение
"
подвергнуть гонению ,"подвергать гонение
"
гонение,"гонение
"
подвергнуть гонению,"подвергать гонение
"
отныне посмотрим,"отныне посмотреть
"
с сегодняшнего дня я бросаю спиртное,"с сегодняшний день я бросать спиртное
"
стрелять из автомата,"стрелять из автомат
"
купить лекарства из аптеки,"купить лекарство из аптека
"
прятаться от людей,"прятаться от человек
"
тебе следует стыдиться людей,"ты следовать стыдиться человек
"
из двора вышли люди,"из двор выходить человек
"
на крыше (с крыши) послышался топот,"на крыша послышаться топот
"
упасть с крыши,"упасть с крыша
"
упасть с крыши,"упасть с крыша
"
по снегу ходи потихоньку,"по снег ходить потихоньку
"
из раны каплями просачивается кровь,"из рана капля просачиваться кровь
"
человек; боящийся своей тени,"бояться свой тень
"
получить письмо из армии,"получать письмо из армия
"
сын возвратился из армии,"сын возвращаться из армия
"
они сказали; что их брат приехал из армии,"они что они брат приезжать из армия
"
отсюда не видно,"отсюда не видно
"
начиная отсюда,"начинать отсюда
"
отсюда ближе,"отсюда близко
"
отсюда до того места,"отсюда до тот место
"
я не хочу уходить отсюда,"я не хотеть уходить отсюда
"
из отверстия выползла змея,"из отверстие выползать змея
"
эти туфли я купил на базаре,"этот туфля я купить на базар
"
идти по краю,"идти по край
"
отломанный с краю камень,"отламывать с край камень
"
ходить по краю,"ходить по край
"
достать откуда угодно,"доставать откуда угодно
"
ломать пополам,"ломать пополам
"
идти посередине,"идти посередине
"
открывать посередине,"открывать посередине
"
отрезать пополам/посередине,"отрезать
"
дерево переломилось надвое (посередине),"дерево переламываться надвое
"
одеяло в середине стало толще,"одеяло в середина становиться толстый
"
разрезать пополам,"разрезать пополам
"
да убережет (бог) от бедствий,"да уберегать от бедствие
"
спасти от бедствий,"спасать от бедствие
"
господи; помилуй; побереги от непредвиденных превратностей,"поберечь от непредвиденный превратность
"
пусть отведется беда (букв. пусть уберегут от тайного (неожиданного) несчастья),"пусть отвестись беда пусть уберегать от тайный
"
выйти из больницы,"выходить из больница
"
брать деньги из банка,"брать деньги из банк
"
бояться волков,"бояться волк
"
еле спасся от волка,"еле спасаться от волк
"
с гор,"с гора
"
иди с краю дороги,"идти с край дорога
"
около сада протекает речка,"около сад протекать речка
"
когда мимо проезжает машина; наш дом дрожит,"когда мимо проезжать наш дом дрожать
"
теленка вывели из хлева,"теленок выводить из хлев
"
гость; приехавший издалека,"приезжать издалека
"
подняться с постели,"подниматься с постель
"
он встал с постели,"он вставать с постель
"
ни с того; ни с сего (букв. встав с места),"ни с ни с сие вставать с
"
погов. из гнезда вороны орел не вылетит,"из гнездо ворона орел не вылетать
"
вас никто не боится,"вы никто не бояться
"
удравшая от вас собака пришла к чабанам,"удирать от вы собака приходить к чабан
"
удравшая от вас собака пришла к чабанам,"удирать от вы собака приходить к чабан
"
глухота лучше слепоты,"глухота хорошо слепота
"
дети боятся темноты,"ребенок бояться темнота
"
выйти из вагона,"выходить из вагон
"
ходи посередине,"ходить посередине
"
отбери спички у ребенка,"отбирать спичка у ребенок
"
ты должна гордиться своим сыном,"ты должный гордиться свой сын
"
вылить из ведра,"выливать из ведро
"
вода из ведра выплеснулась на землю,"вода из ведро выплескиваться на земля
"
спасти от смерти,"спасать от смерть
"
спасти от смерти,"спасать от смерть
"
он стал хуже; чем раньше,"он становиться чем рано
"
оттуда не ходите,"оттуда не ходить
"
оттуда взяли (или унесли),"оттуда взять
"
дай отсюда же,"давать отсюда же
"
достать из кисета,"доставать из кисет
"
выколю глаза (из глазницы),"выкалывать глаз
"
вывалить из сапетки,"вывалить из сапетки
"
мы отстали от них,"мы отставать от они
"
от неё мне нет помощи,"от она я нет помощь
"
оттуда что ли пришли?,"оттуда что ли
"
возьми оттуда,"взять оттуда
"
много людей из Грозного переселились в Ингушетию,"много человек из грозный переселяться в ингушетия
"
только недавно пришло от него письмо,"только недавно приходить от он письмо
"
ой-ой-ой; вряд ли он справится,"вряд ли он справляться
"
ты его не переспоришь,"ты он не переспоривать
"
мышь освободилась из мышеловки,"мышь освобождаться из мышеловка
"
я узнал тебя по твоему разговору,"я узнавать ты по твой разговор
"
идти через ущелье,"идти через ущелие
"
начни с начала,"начинать с начало
"
пожалеть; приласкать (букв. провести рукой по головке),"приласкать проводить рука по
"
смотреть сбоку,"смотреть сбоку
"
отломанный сбоку камень,"отламывать сбоку камень
"
с чужого плеча (об одежде),"с чужой плечо
"
из нее слова не вытащишь,"из она слово не вытаскивать
"
из шкатулки брать деньги,"из шкатулка брать деньги
"
достать из пенала,"доставать из пенал
"
больше тысячи рублей,"много тысяча рубль
"
он потерял живой блеск глаз (букв. у него сияние ушло из глаз),"он потерять живой блеск глаз у он сияние уходить из
"
разозлился; разгневался (букв. в глазах молния сверкнула),"разгневаться в глаз молния
"
